" 21/11/04"	" 09:10:00"	"  Recalc!"	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "	"         "
"      min"	"      L/h"	"      L/h"	" ml/(g h)"	" ml/(g h)"	"         "	"     W/kg"	" ml/(g h)"	" ml/(g h)"	"       °C"	"       °C"	"       °C"	"    L/min"	"    L/min"	"    L/min"	"        %"	"        %"	"      kPa"	" ml/(g h)"	" ml/(g h)"
"     Time"	"   O2cons"	"  CO2prod"	"  O2consW"	" CO2prodW"	"       RQ"	"        M"	"  O2consI"	" CO2prodI"	"       Tb"	"       Ta"	"       T2"	"    Aflow"	"    Flow1"	"    Flow2"	"       O2"	"      CO2"	"     PH2O"	"H2OvapLo1"	" O2FoxBox"	~	" G1"
1440.0000	0.70035	0.61309	1.61968	1.41789	0.8754	9.0357	2.13518	1.85801	2.00	12.41	2.56		2.5143	2.5070	20.4770	0.4560	0.8088	1.4298		~	1
1441.0000	0.75690	0.65653	1.75046	1.51834	0.8674	9.7653	2.32319	2.01620	1.99	12.48	2.57		2.5142	2.5072	20.4408	0.4852	0.8082	1.4282		~	1
1442.0000	0.85069	0.74363	1.96738	1.71977	0.8741	10.9753			1.99	12.10	2.59		2.5145	2.5071	20.3787	0.5437	0.8221	1.4767		~	1
1443.0000	0.81895	0.71004	1.89397	1.64209	0.8670	10.5658			1.99	11.80	2.59		2.5145	2.5071	20.4002	0.5212	0.8221	1.4775		~	1
1444.0000									1.99	11.65	2.59		2.5143	2.5070	20.6505	0.2859	0.4819			~	50
1445.0000									1.99	11.49	2.58		2.5144	2.5069	20.9327	0.0463	0.3985			~	50
1446.0000									1.99	11.81	2.58		2.5143	2.5072	20.9342	0.0450	0.3934			~	50
1447.0000									2.00	12.11	2.60		2.5143	2.5068	20.9342	0.0444	0.3907			~	50
1448.0000									1.99	12.11	2.59		2.5142	2.5071	20.9374	0.0291	0.3154			~	40
1449.0000									1.99	11.72	2.57		2.5142	2.5072	20.9416	0.0018	0.1983			~	40
1450.0000									2.00	11.45	2.59		2.5141	2.5068	20.9414	0.0014	0.1670			~	40
1451.0000									2.01	11.40	2.62		2.5142	2.5071	20.9411	0.0012	0.1522			~	40
1452.0000									2.01	11.46	2.60		2.5143	2.5068	20.9589	0.2035	0.2643			~	70
1453.0000									2.00	11.85	2.59		2.5142	2.5070	20.9897	0.5031	0.1664			~	70
1454.0000									2.01	12.11	2.60		2.5142	2.5069	20.9847	0.5056	0.1355			~	70
1455.0000									1.99	12.14	2.58		2.5142	2.5071	20.9852	0.5066	0.1211			~	70
1456.0000									1.99	12.00	2.60		2.5143	2.5071	20.8105	0.4228	0.7672			~	1
1457.0000									1.98	11.82	2.60		2.5142	2.5070	20.5239	0.4197	0.9627			~	1
1458.0000	0.62323	0.55381	1.44133	1.28078	0.8886	8.0407			1.98	11.68	2.62		2.5143	2.5072	20.5257	0.4163	1.0500	2.2676		~	1
1459.0000	0.88955	0.80287	2.05724	1.85679	0.9026	11.4766			2.00	11.96	2.61		2.5144	2.5071	20.3494	0.5835	1.0591	2.2990		~	1
1460.0000	0.85372	0.75477	1.97437	1.74553	0.8841	11.0143			1.98	12.21	2.59		2.5143	2.5072	20.3751	0.5512	1.0456	2.2522		~	1
1461.0000	0.54290	0.47018	1.25556	1.08738	0.8660	7.0044	-0.56481	-0.46824	1.98	12.26	2.59		2.5143	2.5073	20.5801	0.3601	1.0295	2.1965		~	1
